;;;;;;Min;;;;;;;
4 190;10194,48;12154,99;9689,59;11118,4;;;;;;;;;
4 407;11260,55;12814,79;10119,88;11539,39;;;;;;;;;
4 465;11999,37;12750,11;10340,06;11680,69;;;;;;;;;
4 468;12002,36;12319,2;10109,02;11185,47;;;;;;;;;
4 724;11870,82;11686,7;9771,94;10514,36;;;;;;;;;
5 657;11483,46;11012,09;9380,96;9236,92;;;;;;;;;
7 118;11077,43;10752,46;8972,07;7608,01;;;;;;;;;
8 137;10411,65;10193,69;8133,44;6559,32;;;;;;;;;
8 652;9167,81;8674,63;6945,28;5405,02;;;;;;;;;
8 558;6948,39;8120,16;6193,33;4474,67;;;;;;;;;
8 548;6462,72;7410,09;5854,29;4060,25;;;;;;;;;
8 379;6296,16;7249,37;5542,02;3918,76;;;;;;;;;
8 236;6256,33;7287,75;5562,02;3949,3;;;;;;;;;
8 318;6468,14;7577;5839,14;4150,9;;;;;;;;;
8 448;7752,18;8756,32;6799,28;4969,41;;;;;;;;;
8 476;10584,74;10949,72;8416,26;6883,67;;;;;;;;;
8 681;12334,06;12529,37;10392,23;9627,19;;;;;;;;;
8 769;12346,43;12494,89;11054,52;10514,6;;;;;;;;;
8 620;12252,3;12004,97;10656,16;10657,54;;;;;;;;;
8 315;12261,74;11743,22;10081,57;11069,61;;;;;;;;;
7 813;12202,27;11838,76;9850,8;11474,33;;;;;;;;;
7 348;12181,65;11953,34;9295,12;11473,57;;;;;;;;;
6 432;12180,65;12262,99;9100,1;11190,7;;;;;;;;;
5 716;12058,09;11972,82;9166,35;11048,73;;;;;;;;;
4 907;12063,06;12215,41;9707,7;11087,59;;;;;;;;;
4 405;11730,1;12294,7;10091,09;11084,37;;;;;;;;;
4 353;11490,88;12278,39;10003,94;11286,12;;;;;;;;;
4 422;11506,54;11893,85;9618,19;11047,85;;;;;;;;;
4 617;11451,37;11195,28;9111,33;10033,93;;;;;;;;;
5 264;11023,05;10778,81;8504,87;8741,68;;;;;;;;;
7 127;10089,21;10324,38;8221,2;7891,3;;;;;;;;;
8 777;9207,31;9708,66;7547,07;7047,35;;;;;;;;;
8 939;8063,2;7980,05;6849,92;6234,63;;;;;;;;;
8 915;7275,93;6539,32;6182,34;4990,9;;;;;;;;;
8 957;7008,33;5979,48;5872,5;4812,55;;;;;;;;;
8 871;6757,13;5800,9;5494,97;5256,71;;;;;;;;;
8 914;6379,34;5994,52;5468,02;5221,98;;;;;;;;;
8 930;6767,67;6439,3;5843,68;5262,38;;;;;;;;;
8 908;8069,66;7491,63;6598,78;5326,63;;;;;;;;;
8 812;9738,83;9415,9;8269,76;5617,91;;;;;;;;;
9 103;11316,48;11245,51;9873,92;6132,11;;;;;;;;;
9 297;11264,72;11799,62;10432,53;6731,26;;;;;;;;;
8 978;11076,32;11921,56;10126,31;7115,22;;;;;;;;;
8 801;11169,91;12155,15;9962,53;7246,88;;;;;;;;;
8 402;11408,56;12287,37;9857,5;7451,91;;;;;;;;;
7 743;11326,92;12383,72;9724,27;7201,94;;;;;;;;;
6 857;10835,21;12399,18;9585,53;7094,03;;;;;;;;;
5 976;10840,33;12351,43;9662,46;6876,76;;;;;;;;;
4 852;10820,51;12381,81;9846,26;6972,52;;;;;;;;;
4 503;11611,73;12678,43;10496,48;7339,78;;;;;;;;;
4 406;11896,63;12612,93;11041,77;7718,29;;;;;;;;;
4 248;11995,06;12337,19;10525,47;7825,92;;;;;;;;;
4 442;11532,95;11952,51;10164,34;7642,86;;;;;;;;;
5 250;10781,05;11713,96;9483,7;6849,98;;;;;;;;;
7 444;9922,38;11312,13;8840,92;6306,39;;;;;;;;;
9 055;9245,26;10651,37;8275,31;5660,6;;;;;;;;;
9 492;8439,65;9089,65;7463,08;5217,87;;;;;;;;;
9 389;7181,6;7653,89;6775,59;4561,18;;;;;;;;;
9 339;6475,13;7056,63;6420,85;3738,63;;;;;;;;;
9 126;6224,98;6895,24;6208,18;3484,29;;;;;;;;;
9 153;6170,21;7053,95;6007,72;3348,23;;;;;;;;;
9 090;6300,54;7429,69;6068,48;3296,74;;;;;;;;;
9 065;6832,75;8673,92;6251,66;3392,27;;;;;;;;;
9 273;7957,63;11223,36;6785,74;3695,6;;;;;;;;;
9 587;9548,59;12905,92;7629,7;4111,75;;;;;;;;;
9 746;10133,48;13306,65;8339,28;4683,62;;;;;;;;;
9 573;9921,35;13293,43;8703,43;5613,37;;;;;;;;;
9 411;9816,71;13224,94;9013,77;6144,52;;;;;;;;;
8 862;9821,56;13027,8;9271,77;6642,9;;;;;;;;;
8 489;9647,08;12777,55;9448,77;7222,27;;;;;;;;;
7 420;9684,95;12600,59;9405,63;7390,53;;;;;;;;;
5 963;9833,76;12615,56;9185,92;7651,2;;;;;;;;;
4 791;10386,85;12775,26;9086,35;8092,92;;;;;;;;;
4 404;11202,15;12931,02;9329,82;8871,15;;;;;;;;;
4 210;11565,68;13197,38;9966,5;9467,81;;;;;;;;;
